,公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,累计确诊人数,累计治愈人数,累计死亡人数,核减,治愈核减,死亡核减
0,1月10日,省级,安徽,,,,,,,,,,
1,1月10日,省级,澳门,,,,,,,,,,
2,1月10日,省级,北京,,,,,,,,,,
3,1月10日,省级,福建,,,,,,,,,,
4,1月10日,省级,甘肃,,,,,,,,,,
5,1月10日,省级,广东,,,,,,,,,,
6,1月10日,省级,广西,,,,,,,,,,
7,1月10日,省级,贵州,,,,,,,,,,
8,1月10日,省级,海南,,,,,,,,,,
9,1月10日,省级,河北,,,,,,,,,,
10,1月10日,省级,河南,,,,,,,,,,
11,1月10日,省级,黑龙江,,,,,,,,,,
12,1月10日,地区级,湖北,武汉,41.0,2.0,1.0,,,,,,
13,1月10日,省级,湖北,,41.0,2.0,1.0,,2.0,1.0,,,
14,1月10日,省级,湖南,,,,,,,,,,
15,1月10日,省级,吉林,,,,,,,,,,
16,1月10日,省级,江苏,,,,,,,,,,
17,1月10日,省级,江西,,,,,,,,,,
18,1月10日,省级,辽宁,,,,,,,,,,
19,1月10日,省级,内蒙古,,,,,,,,,,
20,1月10日,省级,宁夏,,,,,,,,,,
21,1月10日,省级,青海,,,,,,,,,,
22,1月10日,省级,山东,,,,,,,,,,
23,1月10日,省级,山西,,,,,,,,,,
24,1月10日,省级,陕西,,,,,,,,,,
25,1月10日,省级,上海,,,,,,,,,,
26,1月10日,省级,四川,,,,,,,,,,
27,1月10日,省级,台湾,,,,,,,,,,
28,1月10日,省级,天津,,,,,,,,,,
29,1月10日,省级,西藏,,,,,,,,,,
30,1月10日,省级,香港,,,,,,,,,,
31,1月10日,省级,新疆,,,,,,,,,,
32,1月10日,省级,云南,,,,,,,,,,
33,1月10日,省级,浙江,,,,,,,,,,
34,1月10日,省级,重庆,,,,,,,,,,
35,1月10日,国家级,,,41.0,2.0,1.0,,,,,,
36,1月11日,省级,安徽,,,,,,,,,,
37,1月11日,省级,澳门,,,,,,,,,,
38,1月11日,省级,北京,,,,,,,,,,
39,1月11日,省级,福建,,,,,,,,,,
40,1月11日,省级,甘肃,,,,,,,,,,
41,1月11日,省级,广东,,,,,,,,,,
42,1月11日,省级,广西,,,,,,,,,,
43,1月11日,省级,贵州,,,,,,,,,,
44,1月11日,省级,海南,,,,,,,,,,
45,1月11日,省级,河北,,,,,,,,,,
46,1月11日,省级,河南,,,,,,,,,,
47,1月11日,省级,黑龙江,,,,,,,,,,
48,1月11日,地区级,湖北,武汉,,4.0,,,,,,,
49,1月11日,省级,湖北,,,4.0,,,6.0,1.0,,,
50,1月11日,省级,湖南,,,,,,,,,,
51,1月11日,省级,吉林,,,,,,,,,,
52,1月11日,省级,江苏,,,,,,,,,,
53,1月11日,省级,江西,,,,,,,,,,
54,1月11日,省级,辽宁,,,,,,,,,,
